Período;Região;Instituição Hospitalar;Sigla;Ponto ou Localização Geográfica;Grupo;Despesa;N.º doentes;Custo Médio
2016-12;LVT;Hospital Distrital de Santarém, E.P.E.;HDS;39.2410946, -8.6937515;Grupo C;5154006.069999999;647.0;663.8338575476558
2016-12;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;ULSNA;39.3003425, -7.4263845;Grupo C;946200.2700000001;132.0;597.3486553030303
2016-12;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;CHTV;40.516364, -8.0827433;Grupo D;1509610.6600000004;218.0;577.0682951070338
2016-12;Alentejo;Hospital Espírito Santo, E.P.E. - Évora;HES-E;38.5684861, -7.9032848;Grupo D;940666.48;171.0;458.4144639376218
2017-12;Norte;Centro Hospitalar do Médio Ave, E.P.E.;CHMA;41.3423984, -8.4802503;Grupo B;210707.05999999997;32.0;548.7163020833333
2017-12;LVT;Centro Hospitalar Barreiro Montijo, E.P.E;CHBM;38.6554005, -9.0592392;Grupo C;4625465.909999999;725.0;531.662748275862
2017-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;CHVNGE;41.1094138, -8.5972617;Grupo D;7283752.75;1200.0;505.81616319444447
2017-12;LVT;Centro Hospitalar Universitário Lisboa Norte, E.P.E.;CHULN;38.7500861, -9.1616116;Grupo E;26249069.5;4039.0;541.575255838904
2018-12;LVT;Hospital Distrital de Santarém, E.P.E.;HDS;39.2410946, -8.6937515;Grupo C;4579296.18;772.0;494.3109002590673
2018-12;LVT;Centro Hospitalar Universitário de Lisboa Central E.P.E.;CHULC;38.7166948, -9.1371248;Grupo E;37387034.07;5677.0;548.8085560155012
2019-12;Norte;Centro Hospitalar do Tâmega e Sousa, EPE;CHTS;41.2494561,-8.264901;Grupo C;1418384.6099999999;337.0;350.738034124629
2019-12;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;ULSM;41.1794456, -8.6745115;Grupo C;4332348.68;912.0;395.86519371345025
2019-12;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, EPE;CHTMAD;41.3031784, -7.7515252;Grupo D;938768.87;288.0;271.63451099537036
2019-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, EPE;CHVNGE;41.1094138, -8.5972617;Grupo D;6752749.55;1313.0;428.58273356181775
